Name,Nickname,Subscribers
"تعليم اللغة الانكليزية 🇺🇸","@priness22","639234"
"English with Nimisha Bansal","@NimishaMam","483230"
"أ/ نوف لغة انجليزية ✨🤍","@NF_English1N","444161"
"تعلم اللغة الانجليزية بسهولة 🇱🇷","@nn_48","423933"
"انگلیسی با فرشباف","@farshbuf","379527"
"تعلم اللغة الانجليزية - AZ ENGLISH","@azglish","369323"
"كتابات ستوريات","@ei_tc","343105"
"English Grammar IELTS TOEFL","@English_Grammar_IELTS_TOEFL","327758"
"UPSC Static Gk Quiz™|","@static_gk_channel","292469"
"English media | آموزش زبان","@englishmedia_ir","284136"
"SSC ENGLISH Grammar SBI BANK Vocabulary QUIZ PDF HUB GD CGL","@SSC_ENGLISH_GRAMMAR_SBI_BANK_GD","265836"
"Indian GK Exams","@Indian_Airforce_defence_gk_Exams","265733"
"English Grammar + Vocabulary™©","@EnglishGrammar_Vocab","257747"
"المنقذ في الأنكليزي || أ.محمد العبيدي","@dr_English1","252913"
"ENGLISH PODCASTS 🎧","@Podcast_English_listening","248492"
"Hindi Grammar Quiz ™ CTET UPTET","@Hindi_Grammar_CTET_Quiz","222723"
"آموزش زبان انگلیسی محمدکریمی🩵","@mohammd_karimi_com","219992"
"انمي ويند بريكر | Wind Breaker","@Kiiiiiiicrre","218844"
"Rus tilini O'rganamiz","@rustili_tilini_ruscha","188136"
"Multi-Level Record (C2 Level Teacher)","@MultiLevelRecord","2"
"English For Ethiopia - በቀላሉ","@English_Ethiopian","183239"
"Content- Nimisha Bansal","@mamnimisha","181491"
"Learn English Idioms Language","@Idiomsland","177420"
"آموزش زبان انگلیسی | آکادمی لینگانو","@lingano_com","169791"
"English Lovers","@EnglishLoversofficial","164989"
"Cambridge IELTS practice |Official™","@cambridgematerials","158427"
"አፍላ ፍቅር","@AFLA_FIKIR_SERIES","156239"
"6 Minute English","@BBCs_6MinuteEnglish","6"
"English Language","@English_Language_IELTS_TOEFL","146955"
"Belajar Bahasa Inggris","@belajarbing","145210"
"أكاديمية تعلم الانجليزية ( LEA )","@Eng365","144162"
"𝐅𝐥𝐮𝐞𝐧𝐭 𝐄𝐧𝐠𝐥𝐢𝐬𝐡 𝟐𝟒","@Fluent_English24","140019"
"English Stories Moral Novels","@StoryPage","138580"
"قناة دليلك لـ الايلتس IELTS","@Dalilk4ielts2","131760"
"Learn English Grammar | Language","@Grammar6","131666"
"IELTS With Masters","@IELTSwMasters","130827"
"Speaking for IELTS","@Khusan57","129794"
"ابن نينوى","@S0_69","123301"
"Mogtahed Academy","@bookss_summary","121380"
"Sirojiddin's blog","@RS_IELTS","119681"
"English Phrasal Verbs","@PhrasalCards","118295"
"Learn English Language","@LEARN_ENGLISH_LANGUAGE_USA","118201"
"English Quiz","@E_Qz0","115191"
"Learn English Everyday","@learningEnglish00","114339"
"Daily English Conversations Dialogs","@DaytoDayEnglish","112073"
"መርጌታ የባህል ህክምና መስጫ","@mergeta2681","110954"
"🇺🇸 Inglês pelo Telegram | Filmes e Séries","@inglespelotelegram","107564"
"English Language & Grammar","@englishlanguage","105874"
"Reza Arashnia (Official)","@rezaarashnia","104783"
"Improve Your English🎓","@Ingliztiliuzz","103911"
"💞 Cocozaban | آموزش زبان انگلیسی","@cocozaban","103074"
"Поліглотич | Англійська мова","@poliglotich1","102484"
"Daily English Quiz™","@English_Quiz_MCQs","102288"
"मराठी व्याकरण (Official)™","@SampurnMarathiVyakran","99531"
"Lets Learn Skills","@LetsLearnSkills","99070"
"Rus tilini o'rganamiz!🇷🇺","@Rus_tilini_Organamizuz","98748"
"📡 تعلم الانجليزية 🔊","@enghere","97421"
"实卡接码 四方接码 接码平台 接码网站","@zuidahaoshang","96612"
"معهد استاذ عقيل الزبيدي","@aqil_99","95727"
"FreeEnglishQuiz اینجا رایگان انگلیسی تست بزن","@FreeEnglishQuiz","94160"
"Diyorbek's IELTS","@diyorbeksielts","93831"
"Brighten English Pare Kediri","@brightenenglish","91100"
"English With Masters","@EngMasters","87161"
"Road Podcast | BBC 6 minute English","@Road_Podcast","6"
"🇰🇷 Korean Language | 한국 🇰🇷","@korean_language_kpop_dorama","85333"
"Rus Tilini O'rganamiz! 🇷🇺","@Rustili_tili_ruscha","84774"
"Ibragim Mansurov","@ibragimmansurov_blog","83421"
"تعلم الإنجليزية","@English_201","80821"
"English practice set(railway ,UPSC, Banking, SSC , and all examination)","@English_Quiz_Vocab","80668"
"🍁𝐅𝐢𝐫𝐬𝐭𝐛𝐞𝐥𝐥 𝐄𝐧𝐠𝐥𝐢𝐬𝐡📚","@firstbellenglish","80159"
"آموزش انگلیسی به روش زبان مادری","@hamidrezasotoudeh98","79868"
"English Speaking Course","@English_course_speaking","79328"
""सामान्य हिंदी क्विज ग्रुप™","@Hindi_Grammerr","78515"
"قناة دليلك للـ الإنجليزية 🇺🇸🇬🇧","@dalilk4en","78043"
"English - تعلم اللغة الانجليزية","@taalomenglish","77633"
"Turk tilini o’rganamiz🇹🇷","@bepul_turk_tili_darslari","77614"
"Zaynab Kasimova | Rus tili","@ZaynabKasimovaa","75717"
"آموزش مکالمه زبان انگلیسی","@EnglishConversationIsEasys","75319"
"Українська мова 🇺🇦","@tvoyamova","74430"
"englishcrv | انگلیسی برا همه","@englishcrv","73707"
"انگلیسی با رضا آرش نیا","@arashnia_english1","73339"
"تعليم الانجليزية بسهولة","@Hamzausuf","72038"
"Oxford IELTS","@english_lessons","71147"
"StartQuiz","@Startquiz","71068"
"Learning English Online","@student_44","69494"
"MULTILEVEL EXPERT(CEFR C1)","@multilevelxpert","1"
"English Connection Channel","@English_Connection","67885"
"زبان ترکيبی دانشگاه آزاد","@Mixed_language","66719"
"Faris' English","@FarisEnglishOfficial","65481"
"ENGLISH PODCAST 🎧 | Английский подкасты 🎧","@listening_english_podcast","64255"
"تعلم الانجليزية Learn English","@learn201","64230"
"Multi-Level Top (CEFR C2)","@MultiLevelTop","2"
"Weird Facts 🧠","@weird_facts_TM","63633"
"Let's learn English آموزش زبان انگلیسی","@english1388","63202"
"MULTILEVEL SPEAKING","@mult1level_speaking","62211"
"IELTS Essays Band 9 | IELTS Writing 9.0 | Essays 📃","@Essays_band9","990"
"Phoura Y","@yphoura","61676"
"آموزش زبان | پریسا سجادی","@parisa_sjdi","61604"
"English Language","@englishdaybyday","61283"
"We Can! and top goal","@wecanksa","61139"
"Dev Spoken English","@Devspokenenglish","60913"
"American English","@AmEnglish","60583"
"Abanoub Aziz","@azizabanoub","59991"
"KOLEKSI CIKGU NISAH 🧕🏻📚","@koleksicikgunisah","59656"
"Vorbereitung b1/b2 Goethe/Ösd, Telc","@Vorbereitungb1","12"
"English Made Easy","@Englishmade_easy","59291"
"Антисуржик","@anty_surzhyk","59211"
"Vishal Parihar Telegram","@vishalparihartelegram","59196"
"Active English ᵖˡᵘˢ","@Activeenglishplus","59110"
"English Harmony | Podcasts","@EnglishHarmony","59038"
"Editorial The Hindu PDF","@Editorial_The_Hindu_PDF_Vocab","57979"
"ARTICLES 365 📰 | Muratovich","@articles365","365"
"IELTS Academy","@IELTS_8","57066"
"آموزش و یادگیری زبان انگلیسی","@EenglishZaban","56401"
"Sanskritganga संस्कृतगंगा","@sanskritganga","56309"
"تعلم اللغة الفرنسية من الصفر","@ApprenezFran","55947"
"Mr.Ahmed Shabaan Elsheshtawy","@ahmedshabaan55","55412"
"ᐯᝪᑕᗩᗷᑌしᗩᖇᎩ","@English_World2013","54838"
"تعلم الانجليزية بسهولة","@ta3lmenglish","54592"
"محادثات إنجليزي","@English258","54157"
"English Phrases & Expressions","@English_phrases_Expressions_verb","54025"
"MULTILEVEL | C1 Level Teacher","@CEFR_TESTING","1"
"تعلم اللغة الإنجليزية","@Learn3English","52657"
"𝗕𝗘𝗦𝗧 𝗩𝗢𝗖𝗔𝗕𝗨𝗟𝗔𝗥𝗬🔥","@Best_Vocabulary1","51735"
"Restart English","@English_Mr_Karimi","51548"
"RUS TILI 5 OYDA","@rustili5oyda","5"
"BM | IELTS 9.0","@BekzodMirahmedov","90"
"IELTS Prep by LeapScholar","@LeapScholar_IELTS_prep","50030"
"Learning english fast","@Englishgrammar606","49808"
"الاختبار الوطني وتحدث اللغة الانجليزية الست هدى وللاسئله التنافسي لجميع الاختصاصات والملفات للدراسات العليا","@flakavfsk","49653"
"الأستاذ كرار السلطاني/دليل الطالب","@KarrarMD6th","49647"
"Angelina Troyan🇬🇧","@angelinatroyan777","49154"
"Ozodbek's IELTS","@ozodbek_sk","48743"
"Language C","@Languages_C","48229"
"IELTS ADVICE","@ielts_advise","47840"
"English Grammar Vocabulary ™","@English_by_Neetu_mam_kd_campus","47452"
"Nemis Tili | Germaniya Grantlari","@Nemis_tili_kanal","47237"
"Englishturbo انگلیش توربو","@englishturbo","47020"
"تسريبات ستيب حنفي","@STEP880","46754"
"English Tips&Tools","@EnglishTipsandTools","46651"
"Learn English Grammar","@LearnEnglishGrammar","46164"
"Ashish Classes","@English_Tutorials","45754"
"Олександр Хорсуненко | Інвестиції в нерухомість Таїланду","@horsunenko_estate","45648"
"Shayan.behjati زبان انگلیسی","@shayanbehjatienglish","45379"
"English books for kids👼","@booksforachild","45278"
"Espresso English","@EspressoEnglish","44479"
"Українська Перепалка","@perepalkaua","44086"
"Cambridge Dictionary","@cambridge_dic","44013"
"Speak'N'Roll - Польська мова","@speaknroll_polish","43778"
"English Collocations","@English_Collocations_Adjectives","43282"
"GERMANIYA LIVE Nemis tili markazi","@Germaniya_Live","43074"
"2 minute (Speaking/Listening)🎙","@english_2minute","2"
"« English For Everyone »","@EnglishForEveryone_ORIGINAL","42636"
"Suman Lata yadav hindi classess","@slyhindi7","41999"
"Active English ™","@actives_english","41934"
"Active English ™","@actives_english","41934"
"Active English Official","@Activeenglish_Official","41057"
"CefrWithDemo","@cefrwithdemo","40577"
"خرید گروه قدیمی گپ","@dilillilil","40472"
"Muxriddin Xujaev | IELTS 8,5","@Xojaevs","85"
"KodjoEnglish","@kodjoenglish","40015"
"الست سرى باجلان / معلمة اللغة الإنكليزية","@Sura_English90","39871"
"Riyaziyyat↪️asan üsullarla","@Riyaziyyatindunyasi","39828"
"🇹🇷TURK TILINI O'RGANAMIZ","@Turk_tilini_organamz_turktili","39797"
"DAILY VOCABULARY | C1-C2","@DAILYVOCABUZ","12"
"LegalEdge CLAT Preparation by Toprankers","@LegalEdge","39476"
"Teacher_Muzaffar","@multileveltest","39050"
"💬 Belajar Bahasa Jepang 『日本語彙』🇯🇵","@NIHONGOI","38989"
"قناة الأستاذ: بدر بن ناصر الخميس( دروس ومعلومات في اللغة العربية واختبار الرخصة المهنية)","@Baderalkames","38913"
"Словниковий Запас | Саморозвиток","@zapas_slv","38895"
"سوالات فارسی","@seshanbe_farsi","38705"
"TACTIC English","@PTEnglishtest1","38535"
"BBC 6 Minute English","@bbc_6_minutes","6"
"Mirzoulug'bek Yusupov","@examhelpuz","38147"
"Arab tili - Jannat tili 🇸🇦🌴 ️️","@arab_tili_jannat_tili","38091"
"French School TV","@frenchschooltv","38062"
"Learn Arabic with Khasu","@arabickhasu","37940"
"Let's Practice English","@LetsPracticeEnglish","37713"
"Англійська для кар'єри","@zapas_slvEN","37648"
"Lingua Stochos","@asmsal1","37270"
"بدر الشهري 3 We Can","@T_Badr_WeCan_5_6","3"
"Lovely English","@lovely_english","37141"
"English Phobia(Exam Mate)","@confusingQuestions3","37114"
"1 min (English)","@minute1_project","1"
"🇧🇷 Aprendendo Inglês 🇬🇧","@AprendendoIngles","37061"
"آموزش زبان کره ای(SARA_GALAXY)","@SARA_GALAXY","36871"
"Alisher&Mukhammadali posts","@alisherposts","36782"
"Articles in English","@articles_in_English","36639"
"Англійська мова 🇬🇧","@englua","36583"
"Лінгвіст | English","@linguist_eng","35843"
"Ingliz tilini o'rganamiz","@ingliz_tiliuz","35562"
"عربی نهایی با عمّار تاج بخش","@emtehan_arabi","35512"
"Facts Funny But True","@FactsFunnyButTrue","35444"
"قناة - تطوعية","@pnu440","35347"
"English Listening Podcast","@EnglishListening_podcast","35210"
"English With Natives*","@sirjimmy","35143"
"Балакаємо українською 🇺🇦","@speakinua","35021"
"Mustafa | Study More 🇦🇪","@Ieltswithmustaffa","34945"
"English Materials","@EnglishMaterials50","34847"
"IELTS Assistant","@sparkIELTSspeaking","34836"
"تعلَّم الإنجليزية | تُقى🕊'","@TokaAcademy","34369"
"تدربيات على مخارج الحروف العربية","@exerciese","34317"
"Jo’rabek Sanokulov | IELTS","@ieltswithsanokulov","34202"
"English Sunday Online - English speaking club 🗣","@english_sunday_greenforest","34113"
"تعلم اللغة الالمانية","@lernenDeutsch7","34073"
"KOREYS TILI O’RGANAMIZ 🇰🇷","@Koreys_Tili_Topik_Online","33489"
"English Spmnetic!™ 📝","@englishspmnotes","33289"
"Anvarov’s blog","@anvarovsblog","32917"
"دوره های آموزش زبان","@LearnLangs","32917"
"English Speaking | IELTS | Grammar","@englishsentencess","32532"
"Easy English with Madam Nagiha","@EasyEnglishWithMadamNagiha","32009"
"Michael's Blog","@Michael_Blog","31914"
"Machine Learning | یادگیری ماشین","@MachineLearning_ir","31623"
"BBC Learning English","@bbclearningenglish","31439"
"آموزش نوین انگلیسی","@EnglishNovin","31396"
"Казахский язык 🇰🇿","@kazakhski_besplatno","30942"
"إتقان الإنجليزية خطوة بخطوة","@engs2022","30698"
"SpeakUPuz ️️","@SpeakUp_uz","30672"
"Bahasa Inggris Pemula","@bahasa_inggris_pemula","30536"
"كلمات انجليزي مترجمة","@English742","30495"
"آموزش آسان زبان انگلیسی","@RRELE","30334"
"Azərbaycan Dili Günel Məmmədova","@azerbaycandiligunelmemmedova","30227"
"IELTS SPEAKING ASSISTANT APP QUESTIONS","@IELTS_Speaking_Assistant_App","30127"
"English teachers channel","@forteachers","30111"
"English learners","@LearnbyEnglishlearners","30061"
"VIP Aprende Inglés 🇺🇲⇌🇪🇸","@SpeakEnglishvip","29604"
"The English Box | Английский язык","@kappienglish","29564"
"Learn_french","@Learn_French_telegram","29512"
"Alex (IELTS 9)","@AlexNativeIELTS","9"
"English Learning","@grobP1","29342"
"اکادمی زبان رایگان","@Academy_Zabanino","29293"
"Coin Circle Sniper-Airdrop🍀","@ZH_CNIOS8","29280"
"Grammatical 👨‍🏫👩‍🏫","@usuk1","28905"
"Learn Japanese","@Learn_Japanese","28885"
"Japanese language(self study)","@JapaneseLanguageSelfStudy","28872"
"Реальна Англійська","@realna_english","28809"
"Rus tili | Prep.uz Onlayn Ta'lim Platformasi","@PrepUz_Platformasi","28554"
"studroad","@studroad","28549"
"Dammit, English!","@dammit_english","28526"
"English clinic Video Grammar 🎥","@englishclinic2u","28460"
"Essential Words | VOCABULARY","@Vocabulary_Essential","28116"
"Presidential Schools English tests","@pmtests_english","27968"
"SSC CGL 2025 (एक आखिरी सफर)","@No1_English_Quizzes","2025"
"American Center Tashkent","@ACTashkent","27652"
"👨🏻‍🏫 Grammar Test PDF 👨🏻‍🏫","@Grammar_Exercise","27628"
"REAL EXAM | IELTS","@realexamielts","27625"
"الأضواء - English","@AladwaaEnglish","27536"
"Ielts9","@iielts9","9"
"YET (Your English Tutor)","@AmanSirYET","27468"
"Learning English by reading books","@English_by_Book","27166"
"🌹 शायरी 🌹","@shayri","27119"
"English Horizon | Английский язык","@everythingenglishua","27094"
"RUANG AJAR GURU™","@ruangajarguru","27015"
"زبان انگلیسی با ارشنیا نیا","@RezaArashniaOfficial","26974"
"BBC Learning English","@bbcLEn","26913"
"آموزش زبان آلمانی تخصصی","@almanibeasani","26745"
"✏️ NUEVAS PALABRAS 📓","@Diccionarioletras","26710"
"IELTS Channel","@PARGARIELTS","26634"
"TEZKOR RUS TILI","@RUSTILI_DARSI_RUSCHA_ORGANAMIZ","26624"
"Рус тили - 4 ойда","@rustili_4oyda","4"
"بدر الشهري 1 Super Goal","@T_Badr_SuperGoal_1_2","1"
"Somali_English Intermediate","@Somalienglish3","26531"
"Англійська для українців","@englishdictionaryua","26188"
"تقویت زبان - آموزش آیلتس","@BestIELTS","26148"
"N1 ARAB TILIDA YOZISH VA O'QISH","@arab_tili_muallimi_soniy","1"
"TOEFL Channel","@pargartoefl","25917"
"تجربیات داوطلبان آیلتس | آفرینش","@afarineshreporter","25796"
"🎡English Teaching🎡","@easyenglishfun","25432"
"IELTSXpress.com","@ieltsxpressdotcom","25411"
"Daily US News","@daily_news_american","25191"
"Unacademy IAS: English","@unacademyiasenglish","24808"
"English | W H | إنجليزي","@ha3hz2","24800"
"O'ZBEK TILI VA ADABIYOTI. MILLIY SERTIFIKAT","@Ona_tili_va_adabiyot_BMBA","24715"
"استخدام حسابداری| کاریابی حسابداران","@job_fa","24580"
"английский | engwwz 🇺🇸","@engwwz","24505"
"Turk tilini o'rganamiz","@turktili_uz","24450"
"English language learners","@English_lang_learners","24183"
"@𝐕𝐎𝐂𝐀𝐁_𝐊𝐀𝐓𝐓𝐀","@VOCAB_KATTA","23997"
"💢كورسات إنجليزية مجانية💢","@EFL_learners","23918"
"اللغة العربية والأدب العربي","@arabic_u","23880"
"Англійська для українців🇺🇦🇬🇧","@English4Ukrainians1","23684"
"Apprendre l'arabe Facilement","@apprendrelarabefacilement","23576"
"Minute 1 LISTENING 🎧","@minute1_english","1"
"IELTS | MULTILEVEL","@MultiIevell","23359"
"PTE Material","@Ptematerial","23295"
"Ielts topic-based vocabulary","@topic_based_vocabulary","23285"
"BBC Radio Podcast🎧","@minute_6","23225"
"Clube Ask Jackie","@clubeaskjackie","23207"
"𝐙𝐞́𝐫𝐨 𝐅𝐚𝐮𝐭𝐞 🇫🇷","@orthographisme","23184"
"📣 Quiz Masters 🇬🇧","@QuizMasters","23152"
"Self-Study","@ELEbyChanMin","23143"
"بدر الشهري 2 Super Goal","@T_Badr_SuperGoal_3_4","2"
"Ingliz tili Avstraliya 🇦🇺","@ingliztili_avstraliya","22625"
"IN ENGLISH, PLEASE!","@english_please","22527"
"Learn German with Leo🦁","@de_learn","22476"
"INFO TOEFL & TOAFL","@infoTOEFLTOAFL","22325"
"کاموا حنیف|سالیانه حنیف عظیمی","@hanif_zistm","22134"
"Німецька мова - легко та цікаво","@deutscheassy","21881"
"بدر الشهري 3 Super Goal","@T_Badr_SuperGoal_5_6","3"
"English worksheets","@english_worksheets_more","21649"
"SHERZOD RUSTAMOV // ONA TILI VA ADABIYOT DARSLARI","@onlaynonatili_uz","21634"
"ONA TILI VA ADABIYOT | DONIYOR JUMANIYAZOV BILAN","@adabiyotquiztest","21617"
"engluencer","@engluencerr","21587"
"SSC PYQ ENGLISHgs","@SSC_PYQ_ENGLISH","21559"
"«Русский язык и литература. Находка для учителя!» 📖","@MonikaRusYaz","21501"
"English home️","@english2500","21339"
"Challenge 🇬🇧 з Mrs. Ann","@ChallengeMrsAnn","21069"
"آموزش زبان ترکیه استانبولی 🇹🇷","@TurkDilclub","21035"
"MILLIY SERTIFIKAT ONA TILI","@ONA_TILI_MILLIY_SERTIFIKAT_1","21030"
"🧑🏻‍🏫الإنجليزية للمبتدئينPro","@Grammatical_Errors","20980"
"🎓 ENGLISH_ILI","@English_ili","20965"
"🔙RECENT IELTS🔜","@RECENT_IELTS","20913"
"🇩🇪🇩🇪🇩🇪 DEUTSCH für alle! 🇩🇪🇩🇪🇩🇪","@DEsprachalle","20884"
"ENGLISH PODCASTS 🎧","@New_English_Podcasts","20769"
"English with Noushin|آیلتس IELTS | نوشین لقمانی","@IELTSNLK","20687"
"Rus tilini o‘rganamiz","@rus_yazik","20569"
"유빈이의 영단어장","@yubin_wordmaster","20555"
"مدرسه ی زبان، مکالمه و موسیقی","@RealEnConversations","20399"
"Anglais Pour Tous (A.P.T)","@coursdanglais45","20379"
"آموزش زبان آلمانی","@zabanealmani","20376"
"Spoken english","@FluentEnglishSpokenPractice","20352"
"دوره های آموزش زبان انگلیسی","@DHB1I","20350"
"Рус тилини осон урганиш","@Rustiliniosonorgan","20243"
"Korean Learning Class (self-study)","@KoreanLanguageSelfStudy","20179"
"English World","@englishworld","20153"
"Emrico's Blog || C1","@emricoblog","1"
"Easy English","@easy_english_stud","20074"
"آموزش زبان فرانسوی","@zabanefaransavi","20050"
"Тўғри ёзамиз — мутахассис блоги","@xatoliklar","19916"
"SOURCE ROOM🎄","@waccesourceroom","19849"
"basicenglishlearner","@basicenglishlearner","19812"
"📙 TOP VOCABULARY 📕","@Diyorbek_EFL","19778"
"Mrs English كورس تأسيس إنجليزي","@MrsEnglishboosy","19474"
"IELTS with Ahmed Hassan","@IeltswithAhmed","19422"
"🇺🇿Rus tili online maktabi 🇷🇺","@rus_tili_onlinemaktab","19389"
"ENGLISH GRAMMAR","@grammarfad","19285"
"Englishdom – школа вільної англійської","@myenglishdom","19261"
"الاستاذ حسن الكاظمي مدرس اللغة الانكليزية","@BBBBFII","19119"
"Ozodbek Botiraliev","@ozodbek_types","19069"
"Negina Akramovna || TURK TILI 🇹🇷","@negina_turktili","19060"
"ENGLISH FOCUS🎯","@englishfocusuz","19048"
"Azərbaycan dili -Ayşə Əhmədova 📝","@Azerbaycan_dili_A","18918"
"NTA UGC NET - English","@EnglishNETJRF","18877"
"ruschasiga 🇺🇿🫶🇷🇺","@Ruschasiga","18848"
"Green Forest | Англійська мова","@greenforestschool","18845"
"5-minute English Grammar","@FiveMinEngGra","5"
"Asalkhon Sharipova | Channel","@asalkhon_sharipova","18751"
"گروه گرامرلی امیرکبیر","@AUT_grammarly","18701"
"English with Rohit Sain","@englishwithrohitsain","18696"
"Listen Up","@ListenUp_project","18687"
"Chinese language(self-study)","@ChineseLanguageSelfStudy","18645"
"Kelas Bahasa Arab Rumaysho","@kelasbahasaarabrumaysho","18539"
"IELTSC1","@IELTSc1","1"
"Satchmo American Center - U.S. Embassy, Addis Ababa","@SatchmoAmericanCenter","18517"
