Name,Nickname,Subscribers
"Kelas Bahasa Arab Rumaysho","@kelasbahasaarabrumaysho","18539"
"IELTSC1","@IELTSc1","1"
"Satchmo American Center - U.S. Embassy, Addis Ababa","@SatchmoAmericanCenter","18517"
"English 4 All","@english4allkuwait","4"
"Salman English Trainer","@English_Trainer64","18286"
"Multilevel Master Audios","@Multilevel_Listening_Audios","18074"
"IMPACT Library","@impact_school_sources","18061"
"C’est parti 🇫🇷 !","@cestparti20","18019"
"English Training with Mr. Saddiqiآموزش انگلیسی با استاد صدیقی","@mrSaddiqienglishlearning","17994"
"Koreys tili | Kores tili | TOPIK","@KaresTili","17927"
"Farzad Academy","@farzzadsoleimani","17810"
"Namazov Akademiya—DİM📚","@namazov_academy_dim","17795"
"DailyTED1","@DailyTED1","1"
"English Classroom","@CLasseDAnglais","17738"
"English with Nick","@nicksjournal","17610"
"English Grammar™ ( Learn English , Easy English, competitive English)","@english_grammer_eg","17593"
"English Speakers","@English_Speakers","17577"
"Teacher Gulasal | Sunshine","@Teacher_Gulasall","17553"
"دروس تعليمية اون لاين👌 أحمد العبد❤️","@droos4online","17524"
"English Quiz | تعلم انجليزي اسئلة و قواعد و كلمات","@koEnglish","17524"
"منصة وجدان | ستيب STEP","@steptestSaudiaArabia","17498"
"Rustam Qoriyev | Ingliz tili","@ingliztili_ibrat","17364"
"🇰🇷TOPIK CHANNEL( AYUPOV ISLOM )🇰🇷","@KOREAN_TOPIK_CHANNEL","17356"
"Navigate A1| Beginner","@A1_navigate","1"
"G'ulomjon Sobirov| Turk tili️","@gulomjonsobirov","17336"
"آموزش صفر تا صد زبان فرانسه","@zabanfaranceee","17305"
"تعلم الانكليزية","@English12146","17239"
"ONLINE TOPIK | Koreys tili | Madina Azamatovna 쌤","@Onlinetopik","17145"
"የሀበሻ ልብሶች","@habeshan_fashion","17059"
"Turkcha matnlar va darslar .Türkçe metinler ve dersler. Turk tili Konuşma","@turktiligrammatikasi1","17030"
"Spanish Language · Español","@spanish","16999"
"polski.online – Вчимо польську разом","@polskionlinepro","16866"
"JUZENG | АҒЫЛШЫН | IELTS","@juz_english","16859"
"Expert Teacher Sobirov","@Multilevel01C1","16837"
"Ingliz tili darslari","@super_ingliztili","16790"
"IELTS Assistants","@ielts_assistants","16769"
"Aslanov's Lessons","@Aslanovs_Lessons","16751"
"Rus tilini o'rganamiz | Русский язык","@rustilinet","16723"
"آیلتس تهران","@IELTS_TEHRAN","16691"
"Germaniyada O'zbeklar","@Germaniyada_Uzbeklar","16649"
"Німецька Легко!","@DeutschOnlineUA","16587"
"LISTENING (9.0)","@listening_with_alisher","90"
"英语&学习资源宝库|EnglishVault","@wuwuwuEnglish","16520"
"زبان با رضا آرشنیا نیا","@RezaArashniaZaban","16491"
"Vocab_in_usE","@Vocab_in_use","16466"
"English Listening","@eng_listening","16447"
"SPEAK UP🇬🇧 Англійська мова","@speakup_en","16409"
"हिन्दी व्याकरण/HINDI GRAMMAR","@Hindi_grammer","16405"
"Learning English 📚","@Learn_English_deeply","16401"
"TOEFL SKILLS & EXERCISES","@TOEFL_EXERCISES","16334"
"قناة الانكليزي مع د. براء المدلل","@Dr_BMOD","16171"
"Free In Talk - Вивчаймо польську разом","@freeintalk_polish","16107"
"9.0 | Shermuhammad's IELTS","@teachershermuhammad8_5","90"
"SOL","@the_best_sol","15963"
"عربی فلاح 1404","@tarmiimfallah","1404"
"Русский язык как иностранный","@RussianPDF","15915"
"English with Umesh Sir","@climax_academy","15833"
"All Ears English Podcast","@AllEarsEnglishPodcast","15791"
"️ طرقبه️️","@Torghabehnews","15766"
"Англійська з Mr English 🇺🇦🇺🇸","@mr_english_tg","15762"
"Samgin Qurbonov","@samgin_qurbonov","15748"
"ا.عبد المنعم شهابي","@English_Shihabi","15707"
"IELTS Reading - 9™","@IELTSReading9","9"
"ФРАНЦУЗЬКА МОВА з Вікторією Власовою","@victoria_vlasova_France","15646"
"English From Zero to Hero","@Learn_English_from_Zero_to_Hero","15610"
"顶峰相见【文案馆】","@hf_tg","15606"
"نعمات حناوي","@NiematHinnawi","15525"
"محاضرات محمد أيمن أحياء 2025","@RT_Qi","2025"
"KOREAN TOPIK CHANNEL | 한국어 초/중/고급 토픽 채널 | Sherzodbek Teacher 3 4 5 6 급🇰🇷","@Koreya_talim_kanali","3456"
"IELTS WITH AMIROV 8,5","@zafarsobitoff","85"
"6 котов про English 😽","@six_cats_series","6"
"Special IELTS","@SpecialIELTS","15304"
"Калькасыз қазақ тілі. Назгүл Қожабек","@kalkastop","15244"
"німецька 🔥WOW DEUTSCH","@wow_deutsch","15175"
"Nemis tili | Ibrat Farzandlari","@nemistili_ibrat","15172"
"Learn Russian","@Learn_russian_language_rus_dili","15130"
"✌ ENG Learners 📚","@Eng_learners_Mb","15005"
"Correctarium — Українська мова","@correctariumukr","14811"
"Eng-Eslam Emam","@engeslamemam","14786"
"iTeacher | Team","@iTeacherUlugbekOfficial","14627"
"Иврит Клуб","@ivritclub","14578"
"قناة المُلهم -الثانوي","@MULHIM16","14558"
"THOMPSON ENGLISH","@thompson_english","14517"
"آکادمی خط سازان “استاد اکبر فتحی”","@Academy_khatsazan","14419"
"Deutsch mit Spaß","@Deutsch_mit_Umida","14389"
"Queen's English | Англійська мова 👑","@Queen_s_English","14375"
"Польська 🇵🇱❤️ з любовʼю","@polskiwithlove","14347"
"SUCCESS TEAM","@IELTS_Ingiliz_tili","14299"
"English With Mahdi","@mahdisalah13","14091"
"آموزش عربی با فیلم و کارتون","@ArabicWithVideoes","14044"
"Koreanlearn Jalali","@KoreanLearn_Jalali","13969"
"عبارات مترجمه إنجليزي","@PhrasesEn","13942"
"𝑨𝒁Ə𝑹𝑩𝑨𝒀𝑪𝑨𝑵 𝑫𝒊𝑳𝒊 𝑽Ə Ə𝑫Ə𝑩𝒊𝒀𝒀𝑨𝑻 ️💠","@azerbaycan_dili_ve_edebiyyatt","13938"
"Англійський словник","@dictua","13927"
"English Books – Inglizcha Kitoblar","@English_books_new","13917"
"राजस्थान दर्शन","@hindivyakaranguru","13915"
"English Formation 📚","@englishformationchannel","13892"
"Пеле Иврит","@peleivrit","13887"
"Abdiev Shahzod IELTS","@Abdiyev_Shahzod","13866"
"English Tests","@English_ltt","13842"
"РУ𑀝𑀝𐌺ИЙ ЯЗЫ𐌺 🇦🇿 🇷🇺","@rus_dilii","13752"
"English Language @NonaSLides","@NonaSlides","13717"
"KOREA 사전 🇰🇷 | 🇺🇿","@korea_edu","13662"
"أڪآدِيمية فُل موُن","@Fullmoonacademy1","13574"
"Rus tilini O'rganamiz","@RUSTILINI_ORGANAMIZ_UZ_RU","13535"
"Ағылшын тілінен көрнекіліктер","@kornekilikter202","13498"
"AKO RUS | орыс тілі 💞","@ako_rus","13434"
"مرتضی نظری/مکالمه انگلیسی","@mortezanariofficial","13397"
"English Agency","@Englishagency","13393"
"English Events by English Bubble | online | offline","@english_events","13374"
"خانم نسیم عراقی","@Nassim_Arabic_English_Iraqi","13367"
"English teaching materials | Англійська НУШ","@englishnus","13333"
"Daily Dose Of Leaks Hub","@DailyDoseOfLeaks1","13313"
"Logistics | New vacancy","@New_Vacancy_Logistics","13260"
"مکالمه عربی فصیح","@Arabicfassih","13244"
"Asilbek Yusupov | IELTS 9.0 | W 8.5","@AsilbekYusupov","9085"
"Effortless English podcast | A.J. Hoge","@EffortlessEnglishAudio","13198"
"PTE Magazine Channel","@PTEmagazine","13193"
"R̷e̷a̷l̷ C̷o̷u̷p̷o̷n̷s̷","@ebooksenglish9","13177"
"Turk tili +","@turktili_plus","13145"
